Periodo;Semana;Código;Ubicación;Genética;Estado;Dia Proceso;Fecha Evento;Partos;Entrada;Grupo
202511;48;C6056;LDC;1050;S;3;28/11/2025;7;16/02/2023;48
202511;48;C6057;LDC;SUPERCERDA;W;0;01/12/2025;7;16/02/2023;29
202511;48;C6059;LDC;1050;S;5;26/11/2025;7;16/02/2023;48
202511;48;C6069;LDC;1050;H;6;25/11/2025;7;25/01/2023;44
202511;48;C6096;LDC;1050;S;31;31/10/2025;7;25/01/2023;44
202511;48;C6101;LDC;1050;L;2;29/11/2025;7;16/02/2023;32
202511;48;C6106;LDC;1050;S;22;09/11/2025;7;25/01/2023;46
202511;48;C6110;LDC;1050;L;17;14/11/2025;7;16/02/2023;30
202511;48;C6114;LDC;1050;S;73;19/09/2025;6;16/02/2023;38
202511;48;C6119;LDC;1050;L;13;18/11/2025;7;16/02/2023;30
202511;48;C6124;LDC;SUPERCERDA;L;3;28/11/2025;7;16/02/2023;32
202511;48;C6138;LDC;SUPERCERDA;S;7;24/11/2025;7;16/02/2023;48
202511;48;C6145;LDC;1050;S;7;24/11/2025;7;16/02/2023;48
202511;48;C6160;LDC;1050;S;69;23/09/2025;6;17/04/2023;39
202511;48;C6204;LDC;1050;S;101;22/08/2025;6;22/03/2023;34
202511;48;C6210;LDC;1050;S;87;05/09/2025;6;16/02/2023;36
202511;48;C6217;LDC;1050;S;49;13/10/2025;6;17/04/2023;42
202511;48;C6218;LDC;SUPERCERDA;L;18;13/11/2025;7;22/03/2023;30
202511;48;C6232;LDC;SUPERCERDA;S;62;30/09/2025;6;22/03/2023;40
202511;48;C6234;LDC;1050;S;83;09/09/2025;6;17/04/2023;37
202511;48;C6235;LDC;1050;S;76;16/09/2025;6;22/03/2023;38
202511;48;C6239;LDC;1050;S;108;15/08/2025;6;22/03/2023;33
202511;48;C6241;LDC;SUPERCERDA;L;12;19/11/2025;7;22/03/2023;31
202511;48;C6245;LDC;SUPERCERDA;W;3;28/11/2025;7;22/03/2023;32
202511;48;C6247;LDC;1050;S;115;08/08/2025;6;22/03/2023;32
202511;48;C6255;LDC;SUPERCERDA;S;98;25/08/2025;6;17/04/2023;35
202511;48;C6260;LDC;1050;L;3;28/11/2025;7;22/03/2023;32
202511;48;C6265;LDC;SUPERCERDA;L;2;29/11/2025;7;22/03/2023;32
202511;48;C6266;LDC;1050;S;92;31/08/2025;6;17/04/2023;36
202511;48;C6267;LDC;1050;S;105;18/08/2025;6;22/03/2023;34
202511;48;C6270;LDC;1050;S;80;12/09/2025;6;17/04/2023;37
202511;48;C6273;LDC;1050;S;76;16/09/2025;6;17/04/2023;38
202511;48;C6274;LDC;SUPERCERDA;S;76;16/09/2025;6;22/03/2023;38
202511;48;C6280;LDC;1050;S;74;18/09/2025;6;17/04/2023;38
202511;48;C6285;LDC;1050;S;67;25/09/2025;6;17/04/2023;39
202511;48;C6288;LDC;1050;S;28;03/11/2025;6;22/03/2023;45
202511;48;C6294;LDC;1050;S;66;26/09/2025;6;17/04/2023;39
202511;48;C6299;LDC;1050;S;56;06/10/2025;6;09/05/2023;41
202511;48;C6300;LDC;1050;S;62;30/09/2025;6;22/03/2023;40
202511;48;C6305;LDC;1050;S;78;14/09/2025;6;17/04/2023;38
202511;48;C6307;LDC;1050;S;87;05/09/2025;6;17/04/2023;36
202511;48;C6308;LDC;1050;S;84;08/09/2025;6;17/04/2023;37
202511;48;C6310;LDC;SUPERCERDA;S;50;12/10/2025;6;09/05/2023;42
202511;48;C6311;LDC;1050;S;55;07/10/2025;6;24/05/2023;41
202511;48;C6313;LDC;1050;S;87;05/09/2025;6;17/04/2023;36
202511;48;C6315;LDC;SUPERCERDA;S;60;02/10/2025;6;17/04/2023;40
202511;48;C6322;LDC;1050;S;93;30/08/2025;6;17/04/2023;35
202511;48;C6324;LDC;1050;S;63;29/09/2025;6;24/05/2023;40
202511;48;C6327;LDC;1050;S;66;26/09/2025;6;17/04/2023;39
202511;48;C6334;LDC;SUPERCERDA;S;77;15/09/2025;6;17/04/2023;38
202511;48;C6360;LDC;SUPERCERDA;S;47;15/10/2025;6;24/05/2023;42
202511;48;C6363;LDC;SUPERCERDA;S;50;12/10/2025;6;17/04/2023;42
202511;48;C6372;LDC;1050;W;4;27/11/2025;6;09/05/2023;28
202511;48;C6374;LDC;1050;S;21;10/11/2025;6;24/05/2023;46
202511;48;C6433;LDC;SUPERCERDA;S;69;23/09/2025;6;09/05/2023;39
202511;48;C6448;LDC;1050;S;70;22/09/2025;6;09/05/2023;39
202511;48;C6453;LDC;SUPERCERDA;H;7;24/11/2025;6;09/05/2023;43
202511;48;C6459;LDC;SUPERCERDA;S;23;08/11/2025;6;24/05/2023;45
202511;48;C6460;LDC;SUPERCERDA;S;69;23/09/2025;6;24/05/2023;39
202511;48;C6469;LDC;SUPERCERDA;S;60;02/10/2025;6;17/04/2023;40
202511;48;C6472;LDC;1050;S;33;29/10/2025;6;24/05/2023;44
202511;48;C6482;LDC;1050;S;73;19/09/2025;6;09/05/2023;38
202511;48;C6484;LDC;1050;S;62;30/09/2025;6;09/05/2023;40
202511;48;C6506;LDC;SUPERCERDA;S;27;04/11/2025;6;24/05/2023;45
202511;48;C6511;LDC;SUPERCERDA;S;27;04/11/2025;6;24/05/2023;45
202511;48;C6512;LDC;SUPERCERDA;S;60;02/10/2025;6;09/05/2023;40
202511;48;C6522;LDC;1050;S;42;20/10/2025;6;09/06/2023;43
202511;48;C6534;LDC;1050;S;27;04/11/2025;6;09/06/2023;45
202511;48;C6536;LDC;1050;S;52;10/10/2025;6;24/05/2023;41
202511;48;C6537;LDC;SUPERCERDA;S;34;28/10/2025;6;09/06/2023;44
202511;48;C6539;LDC;1050;L;23;08/11/2025;6;01/07/2023;29
202511;48;C6540;LDC;1050;S;37;25/10/2025;5;15/08/2023;43
202511;48;C6544;LDC;1050;S;29;02/11/2025;6;01/07/2023;45
202511;48;C6550;LDC;SUPERCERDA;S;31;31/10/2025;6;01/07/2023;44
202511;48;C6558;LDC;1050;S;24;07/11/2025;6;24/05/2023;45
202511;48;C6571;LDC;1050;S;49;13/10/2025;6;09/06/2023;42
202511;48;C6572;LDC;1050;S;14;17/11/2025;6;01/07/2023;47
202511;48;C6578;LDC;SUPERCERDA;S;35;27/10/2025;6;09/06/2023;44
202511;48;C6585;LDC;1050;S;10;21/11/2025;6;01/07/2023;47
202511;48;C6587;LDC;SUPERCERDA;S;13;18/11/2025;6;01/07/2023;47
202511;48;C6589;LDC;1050;S;52;10/10/2025;6;09/06/2023;41
202511;48;C6591;LDC;1050;S;3;28/11/2025;6;01/07/2023;48
202511;48;C6597;LDC;SUPERCERDA;W;0;01/12/2025;6;01/07/2023;29
202511;48;C6601;LDC;SUPERCERDA;S;70;22/09/2025;5;26/07/2023;39
202511;48;C6602;LDC;SUPERCERDA;S;3;28/11/2025;6;01/07/2023;48
202511;48;C6606;LDC;SUPERCERDA;S;97;26/08/2025;5;01/07/2023;35
202511;48;C6608;LDC;1050;S;27;04/11/2025;6;09/06/2023;45
202511;48;C6609;LDC;1050;S;6;25/11/2025;6;01/07/2023;48
202511;48;C6610;LDC;SUPERCERDA;S;101;22/08/2025;5;01/07/2023;34
202511;48;C6612;LDC;1050;L;17;14/11/2025;6;01/07/2023;30
202511;48;C6613;LDC;1050;W;0;01/12/2025;6;01/07/2023;29
202511;48;C6617;LDC;SUPERCERDA;L;4;27/11/2025;6;26/07/2023;32
202511;48;C6618;LDC;1050;S;3;28/11/2025;6;01/07/2023;48
202511;48;C6621;LDC;SUPERCERDA;S;108;15/08/2025;5;01/07/2023;33
202511;48;C6623;LDC;1050;L;2;29/11/2025;6;15/08/2023;32
202511;48;C6627;LDC;1050;S;14;17/11/2025;6;01/07/2023;47
202511;48;C6634;LDC;1050;S;87;05/09/2025;5;15/08/2023;36
202511;48;C6642;LDC;SUPERCERDA;S;8;23/11/2025;6;01/07/2023;48
202511;48;C6650;LDC;1050;S;14;17/11/2025;6;01/07/2023;47
202511;48;C6652;LDC;1050;S;4;27/11/2025;6;01/07/2023;48
202511;48;C6658;LDC;1050;L;18;13/11/2025;6;01/07/2023;30
202511;48;C6662;LDC;SUPERCERDA;S;82;10/09/2025;5;15/08/2023;37
202511;48;C6664;LDC;SUPERCERDA;L;14;17/11/2025;6;26/07/2023;30
202511;48;C6668;LDC;SUPERCERDA;S;21;10/11/2025;6;01/07/2023;46
202511;48;C6674;LDC;SUPERCERDA;S;91;01/09/2025;5;15/08/2023;36
202511;48;C6680;LDC;1050;S;112;11/08/2025;5;26/07/2023;33
202511;48;C6683;LDC;1050;L;14;17/11/2025;6;26/07/2023;30
202511;48;C6687;LDC;1050;L;19;12/11/2025;6;26/07/2023;30
202511;48;C6688;LDC;1050;L;7;24/11/2025;6;26/07/2023;31
202511;48;C6690;LDC;1050;L;12;19/11/2025;6;26/07/2023;30
202511;48;C6691;LDC;1050;L;5;26/11/2025;6;26/07/2023;32
202511;48;C6692;LDC;SUPERCERDA;S;113;10/08/2025;5;15/08/2023;33
202511;48;C6693;LDC;SUPERCERDA;L;15;16/11/2025;6;26/07/2023;30
202511;48;C6697;LDC;SUPERCERDA;S;98;25/08/2025;5;15/08/2023;35
202511;48;C6698;LDC;SUPERCERDA;S;7;24/11/2025;6;01/07/2023;48
202511;48;C6699;LDC;1050;W;0;01/12/2025;6;26/07/2023;30
202511;48;C6700;LDC;1050;L;19;12/11/2025;6;26/07/2023;30
202511;48;C6701;LDC;1050;S;103;20/08/2025;5;26/07/2023;34
202511;48;C6703;LDC;SUPERCERDA;S;62;30/09/2025;5;15/08/2023;40
202511;48;C6704;LDC;1050;W;4;27/11/2025;6;26/07/2023;29
202511;48;C6705;LDC;SUPERCERDA;W;0;01/12/2025;6;26/07/2023;29
202511;48;C6708;LDC;1050;L;8;23/11/2025;6;26/07/2023;31
202511;48;C6712;LDC;SUPERCERDA;S;108;15/08/2025;5;26/07/2023;33
202511;48;C6717;LDC;1050;S;27;04/11/2025;5;15/08/2023;45
202511;48;C6719;LDC;1050;S;105;18/08/2025;5;15/08/2023;34
202511;48;C6722;LDC;1050;W;0;01/12/2025;6;26/07/2023;30
202511;48;C6723;LDC;1050;S;108;15/08/2025;5;15/08/2023;33
202511;48;C6725;LDC;1050;S;98;25/08/2025;5;15/08/2023;35
202511;48;C6727;LDC;1050;S;91;01/09/2025;5;15/08/2023;36
202511;48;C6728;LDC;1050;S;84;08/09/2025;5;15/08/2023;37
202511;48;C6730;LDC;1050;L;19;12/11/2025;6;15/08/2023;30
202511;48;C6731;LDC;1050;S;100;23/08/2025;5;15/08/2023;34
202511;48;C6732;LDC;1050;S;107;16/08/2025;5;26/07/2023;33
202511;48;C6740;LDC;1050;S;104;19/08/2025;5;15/08/2023;34
202511;48;C6749;LDC;SUPERCERDA;L;4;27/11/2025;6;15/08/2023;32
202511;48;C6751;LDC;1050;L;7;24/11/2025;6;26/07/2023;31
202511;48;C6752;LDC;SUPERCERDA;S;88;04/09/2025;5;15/08/2023;36
202511;48;C6755;LDC;1050;W;4;27/11/2025;6;26/07/2023;29
202511;48;C6762;LDC;1050;S;104;19/08/2025;5;15/08/2023;34
202511;48;C6763;LDC;SUPERCERDA;L;14;17/11/2025;6;26/07/2023;30
202511;48;C6769;LDC;1050;S;113;10/08/2025;5;15/08/2023;33
202511;48;C6775;LDC;1050;L;19;12/11/2025;6;26/07/2023;30
202511;48;C6778;LDC;1050;S;28;03/11/2025;5;15/08/2023;45
202511;48;C6779;LDC;1050;L;7;24/11/2025;6;26/07/2023;31
202511;48;C6785;LDC;1050;S;91;01/09/2025;5;15/08/2023;36
202511;48;C6788;LDC;1050;S;87;05/09/2025;5;15/08/2023;36
202511;48;C6791;LDC;SUPERCERDA;S;80;12/09/2025;5;13/09/2023;37
202511;48;C6793;LDC;1050;S;102;21/08/2025;5;15/08/2023;34
202511;48;C6794;LDC;SUPERCERDA;S;77;15/09/2025;5;15/08/2023;38
202511;48;C6795;LDC;SUPERCERDA;S;98;25/08/2025;5;15/08/2023;35
202511;48;C6798;LDC;SUPERCERDA;S;100;23/08/2025;5;15/08/2023;34
202511;48;C6799;LDC;1050;S;75;17/09/2025;5;13/09/2023;38
202511;48;C6801;LDC;SUPERCERDA;S;55;07/10/2025;5;15/08/2023;41
202511;48;C6802;LDC;1050;L;3;28/11/2025;6;15/08/2023;32
202511;48;C6803;LDC;1050;S;73;19/09/2025;5;13/09/2023;38
202511;48;C6804;LDC;SUPERCERDA;S;94;29/08/2025;5;15/08/2023;35
202511;48;C6806;LDC;1050;S;105;18/08/2025;5;15/08/2023;34
202511;48;C6810;LDC;SUPERCERDA;S;91;01/09/2025;5;13/09/2023;36
202511;48;C6812;LDC;1050;S;84;08/09/2025;5;13/09/2023;37
202511;48;C6815;LDC;1050;S;97;26/08/2025;5;15/08/2023;35
202511;48;C6817;LDC;SUPERCERDA;L;2;29/11/2025;6;15/08/2023;32
202511;48;C6818;LDC;SUPERCERDA;S;91;01/09/2025;5;13/09/2023;36
202511;48;C6819;LDC;SUPERCERDA;S;97;26/08/2025;5;13/09/2023;35
202511;48;C6823;LDC;SUPERCERDA;S;17;14/11/2025;5;13/09/2023;46
202511;48;C6825;LDC;1050;S;87;05/09/2025;5;15/08/2023;36
202511;48;C6830;LDC;1050;S;78;14/09/2025;5;13/09/2023;38
202511;48;C6831;LDC;1050;S;94;29/08/2025;5;13/09/2023;35
202511;48;C6835;LDC;1050;S;84;08/09/2025;5;13/09/2023;37
202511;48;C6837;LDC;1050;S;39;23/10/2025;5;13/09/2023;43
202511;48;C6838;LDC;SUPERCERDA;S;109;14/08/2025;5;15/08/2023;33
202511;48;C6839;LDC;1050;S;105;18/08/2025;5;13/09/2023;34
202511;48;C6841;LDC;1050;S;75;17/09/2025;5;13/09/2023;38
202511;48;C6844;LDC;1050;S;74;18/09/2025;5;13/09/2023;38
202511;48;C6847;LDC;SUPERCERDA;S;78;14/09/2025;5;02/10/2023;38
202511;48;C6849;LDC;SUPERCERDA;S;94;29/08/2025;5;15/08/2023;35
202511;48;C6850;LDC;1050;S;69;23/09/2025;5;13/09/2023;39
202511;48;C6851;LDC;1050;S;77;15/09/2025;5;13/09/2023;38
202511;48;C6852;LDC;1050;S;66;26/09/2025;5;13/09/2023;39
202511;48;C6860;LDC;1050;S;87;05/09/2025;5;13/09/2023;36
202511;48;C6861;LDC;1050;S;69;23/09/2025;5;13/09/2023;39
202511;48;C6863;LDC;SUPERCERDA;S;60;02/10/2025;5;13/09/2023;40
202511;48;C6866;LDC;SUPERCERDA;S;73;19/09/2025;5;13/09/2023;38
202511;48;C6868;LDC;1050;S;71;21/09/2025;5;02/10/2023;39
202511;48;C6872;LDC;1050;S;59;03/10/2025;5;02/10/2023;40
202511;48;C6874;LDC;1050;S;62;30/09/2025;5;13/09/2023;40
202511;48;C6877;LDC;1050;S;55;07/10/2025;5;02/10/2023;41
202511;48;C6878;LDC;SUPERCERDA;S;73;19/09/2025;5;13/09/2023;38
202511;48;C6880;LDC;1050;S;63;29/09/2025;5;02/10/2023;40
202511;48;C6887;LDC;1050;S;52;10/10/2025;5;02/10/2023;41
202511;48;C6889;LDC;SUPERCERDA;S;70;22/09/2025;5;02/10/2023;39
202511;48;C6892;LDC;1050;S;48;14/10/2025;5;26/10/2023;42
202511;48;C6893;LDC;1050;S;56;06/10/2025;5;02/10/2023;41
202511;48;C6897;LDC;1050;S;63;29/09/2025;5;02/10/2023;40
202511;48;C6900;LDC;1050;N;19;12/11/2025;5;02/10/2023;41
202511;48;C6903;LDC;SUPERCERDA;S;55;07/10/2025;5;02/10/2023;41
202511;48;C6904;LDC;SUPERCERDA;S;70;22/09/2025;5;02/10/2023;39
202511;48;C6905;LDC;1050;S;56;06/10/2025;5;02/10/2023;41
202511;48;C6909;LDC;1050;S;37;25/10/2025;5;13/09/2023;43
202511;48;C6917;LDC;SUPERCERDA;S;28;03/11/2025;5;02/10/2023;45
202511;48;C6918;LDC;1050;L;4;27/11/2025;5;02/10/2023;32
202511;48;C6919;LDC;SUPERCERDA;S;42;20/10/2025;5;25/10/2023;43
202511;48;C6926;LDC;1050;S;52;10/10/2025;5;02/10/2023;41
202511;48;C6928;LDC;SUPERCERDA;S;52;10/10/2025;5;25/10/2023;41
202511;48;C6931;LDC;SUPERCERDA;S;61;01/10/2025;5;25/10/2023;40
202511;48;C6932;LDC;1050;S;66;26/09/2025;5;02/10/2023;39
202511;48;C6933;LDC;1050;S;52;10/10/2025;5;02/10/2023;41
202511;48;C6938;LDC;SUPERCERDA;S;34;28/10/2025;5;25/10/2023;44
202511;48;C6939;LDC;1050;S;66;26/09/2025;5;02/10/2023;39
202511;48;C6940;LDC;1050;S;35;27/10/2025;5;25/10/2023;44
202511;48;C6941;LDC;SUPERCERDA;S;70;22/09/2025;5;02/10/2023;39
202511;48;C6951;LDC;1050;S;6;25/11/2025;5;25/10/2023;48
202511;48;C6952;LDC;1050;S;59;03/10/2025;5;25/10/2023;40
202511;48;C6974;LDC;1050;S;13;18/11/2025;5;25/10/2023;47
202511;48;C6978;LDC;1050;S;31;31/10/2025;5;25/10/2023;44
202511;48;C6980;LDC;1050;S;38;24/10/2025;5;25/10/2023;43
202511;48;C6989;LDC;SUPERCERDA;S;55;07/10/2025;5;25/10/2023;41
202511;48;C6990;LDC;1050;S;35;27/10/2025;5;25/10/2023;44
202511;48;C6992;LDC;SUPERCERDA;S;41;21/10/2025;5;02/10/2023;43
202511;48;C6997;LDC;1050;S;37;25/10/2025;5;25/10/2023;43
202511;48;C6999;LDC;1050;S;42;20/10/2025;5;25/10/2023;43
202511;48;C7000;LDC;1050;S;35;27/10/2025;5;25/10/2023;44
202511;48;C7003;LDC;1050;S;16;15/11/2025;5;22/11/2023;46
202511;48;C7012;LDC;SUPERCERDA;S;24;07/11/2025;5;22/11/2023;45
202511;48;C7015;LDC;1050;S;28;03/11/2025;5;22/11/2023;45
202511;48;C7018;LDC;SUPERCERDA;S;62;30/09/2025;5;25/10/2023;40
202511;48;C7020;LDC;1050;L;20;11/11/2025;5;22/11/2023;29
202511;48;C7029;LDC;1050;S;10;21/11/2025;5;22/11/2023;47
202511;48;C7030;LDC;SUPERCERDA;L;3;28/11/2025;5;06/12/2023;32
202511;48;C7035;LDC;1050;S;21;10/11/2025;5;22/11/2023;46
202511;48;C7039;LDC;SUPERCERDA;S;13;18/11/2025;5;25/10/2023;47
202511;48;C7041;LDC;1050;S;115;08/08/2025;4;06/12/2023;32
202511;48;C7042;LDC;1050;S;2;29/11/2025;5;22/11/2023;48
202511;48;C7046;LDC;1050;S;104;19/08/2025;4;02/01/2024;34
202511;48;C7052;LDC;1050;S;61;01/10/2025;4;06/12/2023;40
202511;48;C7054;LDC;SUPERCERDA;S;28;03/11/2025;5;22/11/2023;45
202511;48;C7056;LDC;1050;W;11;20/11/2025;5;06/12/2023;28
202511;48;C7057;LDC;1050;S;24;07/11/2025;5;22/11/2023;45
202511;48;C7061;LDC;1050;S;10;21/11/2025;5;22/11/2023;47
202511;48;C7065;LDC;SUPERCERDA;S;14;17/11/2025;5;22/11/2023;47
202511;48;C7071;LDC;SUPERCERDA;L;11;20/11/2025;5;22/11/2023;31
202511;48;C7077;LDC;1050;S;17;14/11/2025;5;22/11/2023;46
202511;48;C7079;LDC;1050;W;0;01/12/2025;5;06/12/2023;29
202511;48;C7083;LDC;1050;S;16;15/11/2025;5;22/11/2023;46
202511;48;C7086;LDC;SUPERCERDA;S;56;06/10/2025;4;06/03/2024;41
202511;48;C7087;LDC;1050;L;1;30/11/2025;5;06/12/2023;32
202511;48;C7088;LDC;1050;L;17;14/11/2025;5;06/12/2023;30
202511;48;C7091;LDC;1050;L;17;14/11/2025;5;06/12/2023;30
202511;48;C7092;LDC;1050;S;98;25/08/2025;4;02/01/2024;35
202511;48;C7094;LDC;SUPERCERDA;S;14;17/11/2025;5;22/11/2023;47
202511;48;C7096;LDC;SUPERCERDA;S;10;21/11/2025;5;06/12/2023;47
202511;48;C7098;LDC;SUPERCERDA;L;4;27/11/2025;5;06/12/2023;32
202511;48;C7108;LDC;SUPERCERDA;L;9;22/11/2025;5;06/12/2023;31
202511;48;C7116;LDC;1050;W;14;17/11/2025;5;22/11/2023;28
202511;48;C7119;LDC;1050;W;4;27/11/2025;5;06/12/2023;28
202511;48;C7121;LDC;1050;L;17;14/11/2025;5;06/12/2023;30
202511;48;C7122;LDC;SUPERCERDA;S;4;27/11/2025;5;06/12/2023;48
202511;48;C7129;LDC;1050;L;4;27/11/2025;5;06/12/2023;32
202511;48;C7133;LDC;1050;W;0;01/12/2025;5;06/12/2023;29
202511;48;C7135;LDC;SUPERCERDA;W;4;27/11/2025;5;06/12/2023;29
202511;48;C7137;LDC;SUPERCERDA;S;16;15/11/2025;5;06/12/2023;46
202511;48;C7140;LDC;1050;L;15;16/11/2025;5;06/12/2023;30
202511;48;C7141;LDC;SUPERCERDA;L;7;24/11/2025;5;06/12/2023;31
202511;48;C7144;LDC;SUPERCERDA;S;10;21/11/2025;5;06/12/2023;47
202511;48;C7145;LDC;1050;W;0;01/12/2025;5;06/12/2023;29
202511;48;C7151;LDC;SUPERCERDA;S;49;13/10/2025;4;06/03/2024;42
202511;48;C7152;LDC;1050;S;111;12/08/2025;4;02/01/2024;33
202511;48;C7155;LDC;SUPERCERDA;S;110;13/08/2025;4;22/11/2023;33
202511;48;C7157;LDC;1050;W;0;01/12/2025;5;06/12/2023;29
202511;48;C7166;LDC;1050;S;6;25/11/2025;5;06/12/2023;48
202511;48;C7172;LDC;SUPERCERDA;S;62;30/09/2025;4;02/01/2024;40
202511;48;C7174;LDC;1050;L;14;17/11/2025;5;02/01/2024;30
202511;48;C7179;LDC;SUPERCERDA;S;97;26/08/2025;4;19/01/2024;35
202511;48;C7183;LDC;1050;L;4;27/11/2025;5;02/01/2024;32
202511;48;C7184;LDC;1050;L;3;28/11/2025;5;02/01/2024;32
202511;48;C7185;LDC;1050;L;14;17/11/2025;5;02/01/2024;30
202511;48;C7190;LDC;1050;S;115;08/08/2025;4;02/01/2024;32
202511;48;C7193;LDC;SUPERCERDA;S;56;06/10/2025;4;01/02/2024;41
202511;48;C7196;LDC;1050;L;1;30/11/2025;5;19/01/2024;32
202511;48;C7197;LDC;1050;S;105;18/08/2025;4;19/01/2024;34
202511;48;C7198;LDC;1050;S;98;25/08/2025;4;19/01/2024;35
202511;48;C7202;LDC;SUPERCERDA;S;97;26/08/2025;4;19/01/2024;35
202511;48;C7203;LDC;1050;S;76;16/09/2025;4;01/02/2024;38
202511;48;C7208;LDC;SUPERCERDA;S;73;19/09/2025;4;01/02/2024;38
202511;48;C7210;LDC;1050;S;100;23/08/2025;4;19/01/2024;34
202511;48;C7214;LDC;SUPERCERDA;S;13;18/11/2025;4;06/03/2024;47
202511;48;C7216;LDC;SUPERCERDA;S;104;19/08/2025;4;19/01/2024;34
202511;48;C7219;LDC;1050;S;105;18/08/2025;4;19/01/2024;34
202511;48;C7221;LDC;1050;S;97;26/08/2025;4;19/01/2024;35
202511;48;C7224;LDC;1050;S;87;05/09/2025;4;19/01/2024;36
202511;48;C7225;LDC;1050;S;70;22/09/2025;4;21/02/2024;39
202511;48;C7226;LDC;SUPERCERDA;S;98;25/08/2025;4;01/02/2024;35
202511;48;C7227;LDC;SUPERCERDA;S;71;21/09/2025;4;19/01/2024;39
202511;48;C7228;LDC;1050;S;113;10/08/2025;4;02/01/2024;33
202511;48;C7229;LDC;1050;S;108;15/08/2025;4;19/01/2024;33
202511;48;C7231;LDC;1050;S;101;22/08/2025;4;19/01/2024;34
202511;48;C7235;LDC;1050;L;4;27/11/2025;5;02/01/2024;32
202511;48;C7237;LDC;1050;S;74;18/09/2025;4;21/02/2024;38
202511;48;C7247;LDC;1050;S;80;12/09/2025;4;19/01/2024;37
202511;48;C7249;LDC;1050;S;110;13/08/2025;4;19/01/2024;33
202511;48;C7251;LDC;SUPERCERDA;S;69;23/09/2025;4;19/01/2024;39
202511;48;C7252;LDC;1050;S;98;25/08/2025;4;19/01/2024;35
202511;48;C7253;LDC;1050;S;113;10/08/2025;4;19/01/2024;33
202511;48;C7257;LDC;1050;S;77;15/09/2025;4;19/01/2024;38
202511;48;C7259;LDC;1050;S;105;18/08/2025;4;19/01/2024;34
202511;48;C7260;LDC;1050;S;94;29/08/2025;4;19/01/2024;35
202511;48;C7261;LDC;1050;S;80;12/09/2025;4;01/02/2024;37
202511;48;C7262;LDC;1050;S;33;29/10/2025;4;21/02/2024;44
202511;48;C7263;LDC;1050;S;107;16/08/2025;4;02/01/2024;33
202511;48;C7267;LDC;SUPERCERDA;S;91;01/09/2025;4;02/01/2024;36
202511;48;C7268;LDC;1050;S;84;08/09/2025;4;01/02/2024;37
202511;48;C7272;LDC;1050;S;80;12/09/2025;4;19/01/2024;37
202511;48;C7273;LDC;SUPERCERDA;L;3;28/11/2025;4;06/03/2024;32
